archive_url,volume_number,title,publication_date,editor,import_date,status
https://firstmonday.org/ojs/index.php/fm/issue/view/100,"Volume 4, Number 1 - 4 January 1999",,1999-01-04,,2025-01-22 23:37:53,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/102,"Volume 4, Number 2 - 1 February 1999",,1999-02-01,,2025-01-22 23:37:56,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/103,"Volume 4, Number 3 - 1 March 1999",,1999-03-01,,2025-01-22 23:37:58,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/104,"Volume 4, Number 4 - 5 April 1999",,1999-04-05,,2025-01-22 23:38:01,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/106,"Volume 4, Number 5 - 3 May 1999",,1999-05-03,,2025-01-22 23:38:03,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/107,"Volume 4, Number 6 - 7 June 1999",,1999-06-07,,2025-01-22 23:38:06,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/108,"Volume 4, Number 7 - 5 July 1999",,1999-07-05,,2025-01-22 23:38:08,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/109,"Volume 4, Number 8 - 2 August 1999",,1999-08-02,,2025-01-22 23:38:11,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/110,"Volume 4, Number 9 - 6 September 1999",,1999-09-06,,2025-01-22 23:38:13,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/111,"Volume 4, Number 10 - 4 October 1999",,1999-10-04,,2025-01-22 23:38:16,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/112,"Volume 4, Number 11 - 1 November 1999",,1999-11-01,,2025-01-22 23:38:18,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/113,"Volume 4, Number 12 - 6 December 1999",,1999-12-06,,2025-01-22 23:38:21,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/115,"Volume 5, Number 1 - 3 January 2000",,2000-01-03,,2025-01-22 23:38:23,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/116,"Volume 5, Number 2 - 7 February 2000",,2000-02-07,,2025-01-22 23:38:26,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/117,"Volume 5, Number 3 - 6 March 2000",,2000-03-06,,2025-01-22 23:38:29,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/118,"Volume 5, Number 4 - 3 April 2000",,2000-04-03,,2025-01-22 23:38:31,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/119,"Volume 5, Number 5 - 1 May 2000",,2000-05-01,,2025-01-22 23:38:34,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/120,"Volume 5, Number 6 - 5 June 2000",,2000-06-05,,2025-01-22 23:38:36,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/121,"Volume 5, Number 7 - 3 July 2000",,2000-07-03,,2025-01-22 23:38:39,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/122,"Volume 5, Number 8 - 7 August 2000",,2000-08-07,,2025-01-22 23:38:42,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/123,"Volume 5, Number 9 - 4 September 2000",,2000-09-04,,2025-01-22 23:38:44,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/124,"Volume 5, Number 10 - 2 October 2000",,2000-10-02,,2025-01-22 23:38:47,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/125,"Volume 5, Number 11 - 5 November 2000",,2000-11-05,,2025-01-22 23:38:49,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/128,"Volume 5, Number 12 - 4 December 2000",,2000-12-04,,2025-01-22 23:38:52,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/129,"Volume 6, Number 1 - 8 January 2001",,2001-01-08,,2025-01-22 23:38:54,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/130,"Volume 6, Number 2 - 5 February 2001",,2001-02-05,,2025-01-22 23:38:57,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/131,"Volume 6, Number 3 - 5 March 2001",,2001-03-05,,2025-01-22 23:38:59,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/132,"Volume 6, Number 4 - 2 April 2001",,2001-04-02,,2025-01-22 23:39:02,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/133,"Volume 6, Number 5 - 7 May 2001",,2001-05-07,,2025-01-22 23:39:04,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/134,"Volume 6, Number 6 - 4 June 2001",,2001-06-04,,2025-01-22 23:39:08,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/135,"Volume 6, Number 7 - 2 July 2001",,2001-07-02,,2025-01-22 23:39:10,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/136,"Volume 6, Number 8 - 6 August 2001",,2001-08-06,,2025-01-22 23:39:16,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/137,"Volume 6, Number 9 - 3 September 2001",,2001-09-03,,2025-01-22 23:39:19,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/138,"Volume 6, Number 10 - 1 October 2001",,2001-10-01,,2025-01-22 23:39:21,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/139,"Volume 6, Number 11 - 5 November 2001",,2001-11-05,,2025-01-22 23:39:24,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/140,"Volume 6, Number 12 - 3 December 2001",,2001-12-03,,2025-01-22 23:39:26,COMPLETED
