article_url,title,doi,publication_date,author,abstract,archive_url,import_date
https://firstmonday.org/ojs/index.php/fm/article/view/640,First Monday Interviews: James O'Donnell and Gregory Crane,https://doi.org/10.5210/fm.v4i1.640,1999-01-04,Alex Soojung-Kim Pang, None available.,https://firstmonday.org/ojs/index.php/fm/issue/view/100,2025-01-21 14:23:58
https://firstmonday.org/ojs/index.php/fm/article/view/639,Beyond portals and gifts: Towards a bottom-up net-economy,https://doi.org/10.5210/fm.v4i1.639,1999-01-04,Felix Stalder," The Internet is haunted by its own promise: the liberation of information. Typically, this promise is a strange hybrid of 60's progressive libertarianism and 90's aggressive venture capitalism. The slogan ""information wants to be free"" still shapes the dynamics of on-line content consumption and production. The results: America Online and Netscape merge and the high-tech gift economy flourishes.",https://firstmonday.org/ojs/index.php/fm/issue/view/100,2025-01-21 14:23:55
https://firstmonday.org/ojs/index.php/fm/article/view/638,Consumer power via the Internet,https://doi.org/10.5210/fm.v4i1.638,1999-01-04,Trond Andresen," Recently, there has been plenty of upbeat reporting on new opportunities provided by the Internet to business in marketing and sales and in financial services, to name a few. Most of these developments may be said to increase ""firm-power"". This paper describes a proposal to strongly enhance ""consumer-power"" to the ultimate benefit of both businesses and consumers..",https://firstmonday.org/ojs/index.php/fm/issue/view/100,2025-01-21 14:23:53
https://firstmonday.org/ojs/index.php/fm/article/view/637,The Internet cultural phenomenon: A bonafide curricular theme,https://doi.org/10.5210/fm.v4i1.637,1999-01-04,Toufic Hakim," Beyond the use of its resources as a research tool, the Internet presents a rich cultural theme for interdisciplinary coursework. In 1996-97, two interdisciplinary courses about and on the Internet were offered at Jacksonville University by four professors from different departments. This paper focuses on the structure, content, and value of, as well as lessons learned from, these virtual courses. Entitled Issues on the Internet, the courses were designed to immerse traditional students in the virtual culture for one semester while exploring issues in science and technology, political science, business and sociology.",https://firstmonday.org/ojs/index.php/fm/issue/view/100,2025-01-21 14:23:50
https://firstmonday.org/ojs/index.php/fm/article/view/636,Internet in America's Schools: Potential catalysts for policy makers,https://doi.org/10.5210/fm.v4i1.636,1999-01-04,Joseph Slowinski," As societies move toward the new millennium, Internet initiatives are being introduced in schools throughout the world. Yet, not without controversy. For example, in the United States fears of access to Internet pornography has dampened the potential enthusiasm for the further introduction of the Internet in schools. Furthermore, a recent study by Carnegie Mellon University found that increased exposure to the Internet led to increased levels of depression and isolation. With these fears circulating, it is inherently more problematic to urge policy makers and parents to desire technology in the classroom. In this article, in an effort to introduce potential points of dialog entry for policy makers, I examine three views that advocate the further implementation of Internet in schools: human capital, democracy and empowerment.",https://firstmonday.org/ojs/index.php/fm/issue/view/100,2025-01-21 14:23:47
https://firstmonday.org/ojs/index.php/fm/article/view/651,First Monday interviews: Jonathan Peizer,https://doi.org/10.5210/fm.v4i2.651,1999-02-01,Geert Lovink, None available.,https://firstmonday.org/ojs/index.php/fm/issue/view/102,2025-01-21 14:24:12
https://firstmonday.org/ojs/index.php/fm/article/view/650,Non-profit organisations and the Internet,https://doi.org/10.5210/fm.v4i2.650,1999-02-01,Martin Johnson," The Internet is the fastest growing communications medium in the world. While some individuals and companies have been quick to capitalise on this medium, non-profit organisations have been slower on the uptake. However with a decline in the level of donations from traditional donors who are aging and a shift by their children away from their parent's spirit of philanthropy, the Internet may offer non-profits a way of reaching new donors.	Worldwide, Internet users have above-average incomes, good jobs and are aged between 21 and 45 years of age. It is this age group that non-profit organisations identify as being the donors of the future. Traditional means of fund-raising appear not to be as effective in soliciting donations from this group. Non-profit organisations worldwide are also looking to the Internet as another way of communicating with their donors.	This paper looks at how non-profits worldwide are using the Internet and then by means of an online survey, seeks to determine what issues Internet users identify as being of concern when asked about making online donations.	Visitors to a non-profit Internet site were asked to identify the issue or issues that would be of concern if asked to make an online donation with 'credit card security' and 'privacy of provided information' as two key issues. Provided these concerns are answered, the survey found that 65 percent of visitors to the site would be willing to make a donation online. In addition, those aged between 19 and 45 and who had used the Internet for between two and three years were more likely to make a donation.	The survey also found that concerns about 'where the money goes' and the efficiency of the organisation, identified by respondents were similar to concerns expressed by donors to non-profits through traditional means.",https://firstmonday.org/ojs/index.php/fm/issue/view/102,2025-01-21 14:24:09
https://firstmonday.org/ojs/index.php/fm/article/view/649,"Flexible networking, information and communications technology and local economic development",https://doi.org/10.5210/fm.v4i2.649,1999-02-01,Michael Gurstein, This paper examines the impact of information technologies on rural communities and suggests new efforts to support local economies with globally connected networks.,https://firstmonday.org/ojs/index.php/fm/issue/view/102,2025-01-21 14:24:07
https://firstmonday.org/ojs/index.php/fm/article/view/648,"Education and community: The Collective Wisdom of Teachers, Parents and Community Members",https://doi.org/10.5210/fm.v4i2.648,1999-02-01,Ted Nellen," Education seems to have become everyone's business. Everyone has a stake in education yet everyone doesn't have access to the educational process. Most frustrating has been the lack of real interaction between schools and their communities. Those schools that succeed all have a common thread: community involvement. Connecting all schools to their local communities in a viable way has been physically impossible. It is the contention of this paper that real connections between communities and schools can be made by the Internet. The Internet not only connects scholars in the schools to outside resources, but it also allows the community to observe the performance of its local scholars as telementors. Telementoring ultimately connects communities to their schools and creates more effective learning environments for all.",https://firstmonday.org/ojs/index.php/fm/issue/view/102,2025-01-21 14:24:04
https://firstmonday.org/ojs/index.php/fm/article/view/647,Technology and pleasure: Considering hacking constructive,https://doi.org/10.5210/fm.v4i2.647,1999-02-01,Gisle Hannemyr," Hackersare identified as a specific subgroup of computer workers. The history of the hacker community is told. The explicit and implicit ideologies expressed through hacking is analyzed and presented. Computer artifacts of origin both inside and outside the hacker community are compared and the embedded properties of the resulting artifacts are inferred. Hacking is discussed in the context of being a method for system development. Finally, it is argued that this system development method under certain circumstances may yield superior software artifacts.",https://firstmonday.org/ojs/index.php/fm/issue/view/102,2025-01-21 14:24:01
https://firstmonday.org/ojs/index.php/fm/article/view/652,FM Reviews,https://doi.org/10.5210/fm.v4i2.652,1999-02-01,Lucinda Covert-Vail, None available.,https://firstmonday.org/ojs/index.php/fm/issue/view/102,2025-01-21 14:24:15
